 < 15:32:56 >  26,6782398223877 40 
 < 15:32:57 >  26,6782398223877 40 
 < 15:32:58 >  26,7361106872559 40 
 < 15:32:59 >  26,7650451660156 40 
 < 15:33:00 >  26,793981552124 40 
 < 15:33:01 >  26,793981552124 40 
 < 15:33:02 >  26,8518505096436 40 
 < 15:33:03 >  26,9097213745117 40 
 < 15:33:04 >  26,9386577606201 40 
 < 15:33:06 >  26,9386577606201 40 
 < 15:33:06 >  26,9965267181396 40 
 < 15:33:07 >  26,9965267181396 40 
 < 15:33:08 >  27,0543975830078 40 
 < 15:33:09 >  27,0833320617676 40 
 < 15:33:10 >  27,1412029266357 40 
 < 15:33:11 >  27,1412029266357 40 
 < 15:33:12 >  27,1990737915039 40 
 < 15:33:13 >  27,2569446563721 40 
 < 15:33:14 >  27,2858791351318 40 
 < 15:33:15 >  27,3148136138916 40 
 < 15:33:16 >  27,34375 40 
 < 15:33:17 >  27,3726844787598 40 
 < 15:33:18 >  27,4305553436279 40 
 < 15:33:19 >  27,4594898223877 40 
 < 15:33:20 >  27,4884262084961 40 
 < 15:33:21 >  27,5462951660156 40 
 < 15:33:22 >  27,5462951660156 40 
 < 15:33:23 >  27,6041660308838 40 
 < 15:33:24 >  27,6331005096436 40 
 < 15:33:25 >  27,662036895752 40 
 < 15:33:26 >  27,6909713745117 40 
 < 15:33:27 >  27,7199077606201 40 
 < 15:33:28 >  27,7488422393799 40 
 < 15:33:29 >  27,8356475830078 40 
 < 15:33:30 >  27,8645820617676 40 
 < 15:33:31 >  27,893518447876 40 
 < 15:33:32 >  27,9513893127441 40 
 < 15:33:33 >  27,9513893127441 40 
 < 15:33:34 >  27,9803237915039 40 
 < 15:33:35 >  28,0092582702637 40 
 < 15:33:36 >  28,0671291351318 40 
 < 15:33:37 >  28,0960636138916 40 
 < 15:33:38 >  28,1539344787598 40 
 < 15:33:39 >  28,1828689575195 40 
 < 15:33:40 >  28,2407398223877 40 
 < 15:33:41 >  28,2696762084961 40 
 < 15:33:42 >  28,2986106872559 40 
 < 15:33:43 >  28,356481552124 40 
 < 15:33:44 >  28,3854160308838 40 
 < 15:33:45 >  28,4143505096436 40 
 < 15:33:46 >  28,4722213745117 40 
 < 15:33:47 >  28,5011577606201 40 
 < 15:33:48 >  28,5300922393799 40 
 < 15:33:49 >  28,587963104248 40 
 < 15:33:50 >  28,6168975830078 40 
 < 15:33:51 >  28,6458320617676 40 
 < 15:33:52 >  28,674768447876 40 
 < 15:33:53 >  28,7326393127441 40 
 < 15:33:54 >  28,7615737915039 40 
 < 15:33:55 >  28,8194446563721 40 
 < 15:33:56 >  28,8483791351318 40 
 < 15:33:57 >  28,8773136138916 40 
 < 15:33:58 >  28,90625 40 
 < 15:33:59 >  28,9351844787598 40 
 < 15:34:00 >  28,9930553436279 40 
 < 15:34:01 >  29,0219898223877 40 
 < 15:34:02 >  29,0798606872559 40 
 < 15:34:03 >  29,1087951660156 40 
 < 15:34:04 >  29,137731552124 40 
 < 15:34:05 >  29,1666660308838 40 
 < 15:34:06 >  29,224536895752 40 
 < 15:34:07 >  29,2534713745117 40 
 < 15:34:08 >  29,2824077606201 40 
 < 15:34:09 >  29,3402767181396 40 
 < 15:34:10 >  29,369213104248 40 
 < 15:34:11 >  29,3981475830078 40 
 < 15:34:12 >  29,456018447876 40 
 < 15:34:13 >  29,4849529266357 40 
 < 15:34:14 >  29,5138893127441 40 
 < 15:34:15 >  29,5717582702637 40 
 < 15:34:16 >  29,6006946563721 40 
 < 15:34:17 >  29,6296291351318 40 
 < 15:34:18 >  29,6585636138916 40 
 < 15:34:19 >  29,7164344787598 40 
 < 15:34:20 >  29,7453689575195 40 
 < 15:34:21 >  29,8032398223877 40 
 < 15:34:22 >  29,8032398223877 40 
 < 15:34:23 >  29,8611106872559 40 
 < 15:34:24 >  29,8900451660156 40 
 < 15:34:25 >  29,918981552124 40 
 < 15:34:26 >  29,9768505096436 40 
 < 15:34:27 >  30,005786895752 40 
 < 15:34:28 >  30,0347213745117 40 
 < 15:34:29 >  30,0925922393799 40 
 < 15:34:30 >  30,1215267181396 40 
 < 15:34:31 >  30,150463104248 40 
 < 15:34:32 >  30,1793975830078 40 
 < 15:34:33 >  30,2083320617676 40 
 < 15:34:34 >  30,2662029266357 40 
 < 15:34:35 >  30,2951393127441 40 
 < 15:34:36 >  30,3240737915039 40 
 < 15:34:37 >  30,3819446563721 40 
 < 15:34:38 >  30,4108791351318 40 
 < 15:34:39 >  30,4398136138916 40 
 < 15:34:40 >  30,46875 40 
 < 15:34:41 >  30,5266189575195 40 
 < 15:34:42 >  30,5555553436279 40 
 < 15:34:43 >  30,5844898223877 40 
 < 15:34:44 >  30,6134262084961 40 
 < 15:34:45 >  30,6712951660156 40 
 < 15:34:46 >  30,700231552124 40 
 < 15:34:47 >  30,7291660308838 40 
 < 15:34:48 >  30,7581005096436 40 
 < 15:34:49 >  30,787036895752 40 
 < 15:34:50 >  30,8449077606201 40 
