PV dadobruto dadofapk Escrita ModoOperacao ValorDesejado CicloInicio CicloFim
4292940712 40000 40000 55000 1 55000 8925689778432 8925689783232
3983901581 40000 40000 55000 1 55000 8926189777272 8926189782072
2020404455 40000 40000 55000 1 55000 8926689777712 8926689780912
208935291 40000 40000 55000 1 55000 8927189776552 8927189779752
1451101496 40000 40000 55000 1 55000 8927689776992 8927689780192
3220397833 40000 40000 55000 1 55000 8928189777432 8928189780632
2976770526 40000 40000 55000 1 55000 8928689776272 8928689779472
544384247 40000 40000 55000 1 55000 8929189775112 8929189779912
4246615186 40000 40000 55000 1 55000 8929689777152 8929689780352
1407964641 40000 40000 55000 1 55000 8930189777592 8930189780792
3527943552 40000 40000 55000 1 55000 8930689778032 8930689782832
3277564003 40000 40000 55000 1 55000 8931189776872 8931189781672
756649832 40000 40000 55000 1 55000 8931689778912 8931689782112
2094392433 40000 40000 55000 1 55000 8932189777752 8932189780952
4211234198 40000 40000 55000 1 55000 8932689776592 8932689779792
2026221103 40000 40000 55000 1 55000 8933189781832 8933189786632
527576530 40000 40000 55000 1 55000 8933689777472 8933689782272
3217185913 40000 40000 55000 1 55000 8934189776312 8934189779512
2613474104 40000 40000 55000 1 55000 8934689776752 8934689779952
101484363 40000 40000 55000 1 55000 8935189777192 8935189780392
2902063544 40000 40000 55000 1 55000 8935689776032 8935689779232
2672374297 40000 40000 55000 1 55000 8936189770072 8936189773272
1153001006 40000 40000 55000 1 55000 8936689776912 8936689781712
1657783783 40000 40000 55000 1 55000 8937189770952 8937189772552
994169714 40000 40000 55000 1 55000 8937689776192 8937689779392
370140241 40000 40000 55000 1 55000 8938189778232 8938189781432
3679298832 40000 40000 55000 1 55000 8938689783472 8938689789872
1728683316 40000 40000 55000 1 55000 8939189775912 8939189780712
456561188 40000 40000 55000 1 55000 8939689776352 8939689779552
2158994199 40000 40000 55000 1 55000 8940189775192 8940189779992
403095098 40000 40000 55000 1 55000 8940689775632 8940689778832
2012250948 40000 40000 55000 1 55000 8941189771272 8941189774472
3462744746 40000 40000 55000 1 55000 8941689776512 8941689779712
1994541261 40000 40000 55000 1 55000 8942189775352 8942189780152
4071173104 40000 40000 55000 1 55000 8942689775792 8942689780592
2956490456 40000 40000 55000 1 55000 8943189776232 8943189781032
2567790076 40000 40000 55000 1 55000 8943689773472 8943689776672
4272819595 40000 40000 55000 1 55000 8944189770712 8944189773912
1328335082 40000 40000 55000 1 55000 8944689777552 8944689780752
3487096896 40000 40000 55000 1 55000 8945189771592 8945189774792
796429442 40000 40000 55000 1 55000 8945689775232 8945689778432
1553859721 40000 40000 55000 1 55000 8946189770872 8946189774072
955598512 40000 40000 55000 1 55000 8946689776112 8946689779312
3584284316 40000 40000 55000 1 55000 8947189773352 8947189778152
2703929397 40000 40000 55000 1 55000 8947689776992 8947689780192
3181980155 40000 40000 55000 1 55000 8948189771032 8948189772632
1609162320 40000 40000 55000 1 55000 8948689774672 8948689777872
1286069744 40000 40000 55000 1 55000 8949189770312 8949189773512
2763315743 40000 40000 55000 1 55000 8949689777152 8949689780352
1987457597 40000 40000 55000 1 55000 8950189771192 8950189772792
2499243444 40000 40000 55000 1 55000 8950689774832 8950689779632
1382842600 40000 40000 55000 1 55000 8951189770472 8951189773672
2998007177 40000 40000 55000 1 55000 8951689777312 8951689780512
3995130935 40000 40000 55000 1 55000 8952189768152 8952189769752
1448838540 40000 40000 55000 1 55000 8952689774992 8952689778192
1486171652 40000 40000 55000 1 55000 8953189769032 8953189770632
252679035 40000 40000 55000 1 55000 8953689772672 8953689777472
517569649 40000 40000 55000 1 55000 8954189774712 8954189779512
2544993432 40000 40000 55000 1 55000 8954689776752 8954689779952
4012906517 40000 40000 55000 1 55000 8955189775592 8955189780392
1541932121 40000 40000 55000 1 55000 8955689772832 8955689777632
2838090185 40000 40000 55000 1 55000 8956189773272 8956189778072
3611589564 40000 40000 55000 1 55000 8956689775312 8956689778512
4173523229 40000 40000 55000 1 55000 8957189772552 8957189775752
690508111 40000 40000 55000 1 55000 8957689772992 8957689777792
909489673 40000 40000 55000 1 55000 8958189770232 8958189771832
3631543236 40000 40000 55000 1 55000 8958689773872 8958689777072
2161928030 40000 40000 55000 1 55000 8959189774312 8959189777512
290784881 40000 40000 32780 0 40000 8959689776352 8959689779552
1474927463 40000 40000 65535 0 40000 8960189775192 8960189779992
3829927460 40000 40000 32780 0 40000 8960689774032 8960689778832
1150529755 40000 40000 65535 0 40000 8961189780872 8961189785672
3093743959 40000 40000 32780 0 40000 8961689774912 8961689778112
2733545371 40000 40000 65535 0 40000 8962189773752 8962189778552
3176066828 40000 40000 32780 0 40000 8962689774192 8962689777392
43281287 40000 40000 65535 0 40000 8963189771432 8963189774632
2847070157 40000 40000 32780 0 40000 8963689771872 8963689775072
14892447 40000 40000 65535 0 40000 8964189767512 8964189770712
3192813912 40000 40000 32780 0 40000 8964689774352 8964689777552
3045268212 40000 40000 65535 0 40000 8965189771592 8965189774792
1293155943 40000 40000 32780 0 40000 8965689773632 8965689778432
115969785 40000 40000 65535 0 40000 8966189774072 8966189777272
1194746764 40000 40000 32780 0 40000 8966689776112 8966689779312
4135363604 40000 40000 65535 0 40000 8967189770152 8967189773352
974635810 40000 40000 32780 0 40000 8967689773792 8967689778592
39431415 40000 40000 65535 0 40000 8968189780632 8968189785432
1952093866 40000 40000 32780 0 40000 8968689774672 8968689777872
462759836 40000 40000 65535 0 40000 8969189773512 8969189776712
2404590696 40000 40000 32780 0 40000 8969689773952 8969689778752
1006643077 40000 40000 65535 0 40000 8970189772792 8970189775992
1319843156 40000 40000 32780 0 40000 8970689773232 8970689776432
2252313832 40000 40000 65535 0 40000 8971189773672 8971189776872
1046639282 40000 40000 32780 0 40000 8971689774112 8971689778912
2729079643 40000 40000 65535 0 40000 8972189766552 8972189768152
1398288274 40000 40000 32780 0 40000 8972689773392 8972689778192
40966504 40000 40000 65535 0 40000 8973189778632 8973189785032
3009592264 40000 40000 32780 0 40000 8973689772672 8973689777472
825269970 40000 40000 65535 0 40000 8974189773112 8974189777912
3434366072 40000 40000 32780 0 40000 8974689773552 8974689776752
3294131058 40000 40000 65535 0 40000 8975189770792 8975189773992
856082422 40000 40000 32780 0 40000 8975689772832 8975689776032
839059812 40000 40000 65535 0 40000 8976189768472 8976189771672
1211916370 40000 40000 32780 0 40000 8976689773712 8976689776912
2610826808 40000 40000 65535 0 40000 8977189772552 8977189775752
1041152624 40000 40000 32780 0 40000 8977689772992 8977689777792
7846426 40000 40000 65535 0 40000 8978189779832 8978189786232
691524424 40000 40000 32780 0 40000 8978689773872 8978689778672
4057058130 40000 40000 65535 0 40000 8979189777512 8979189782312
1878994207 40000 40000 32780 0 40000 8979689773152 8979689776352
2421086856 40000 40000 65535 0 40000 8980189773592 8980189778392
1330145544 40000 40000 32780 0 40000 8980689774032 8980689777232
3599744700 40000 40000 65535 0 40000 8981189774472 8981189777672
850908765 40000 40000 32780 0 40000 8981689773312 8981689776512
167338362 40000 40000 65535 0 40000 8982189770552 8982189775352
2985994268 40000 40000 32780 0 40000 8982689772592 8982689775792
359040123 40000 40000 65535 0 40000 8983189766632 8983189769832
820838111 40000 40000 32780 0 40000 8983689770272 8983689773472
2392909102 40000 40000 65535 0 40000 8984189769112 8984189770712
4071154281 40000 40000 32780 0 40000 8984689772752 8984689775952
1715870021 40000 40000 65535 0 40000 8985189768392 8985189771592
2186756311 40000 40000 32780 0 40000 8985689770432 8985689775232
3046491890 40000 40000 65535 0 40000 8986189772472 8986189777272
3279910045 40000 40000 32780 0 40000 8986689774512 8986689779312
2737944503 40000 40000 65535 0 40000 8987189771752 8987189776552
1626209615 40000 40000 32780 0 40000 8987689773792 8987689776992
319796818 40000 40000 65535 0 40000 8988189767832 8988189771032
1235561961 40000 40000 32780 0 40000 8988689771472 8988689774672
1924988697 40000 40000 65535 0 40000 8989189771912 8989189775112
2619453831 40000 40000 32780 0 40000 8989689772352 8989689775552
2039834190 40000 40000 65535 0 40000 8990189767992 8990189771192
3608641053 40000 40000 32780 0 40000 8990689771632 8990689774832
1617950323 40000 40000 65535 0 40000 8991189767272 8991189770472
189671807 40000 40000 32780 0 40000 8991689772512 8991689777312
3949216598 40000 40000 65535 0 40000 8992189764952 8992189768152
4012181354 40000 40000 32780 0 40000 8992689771792 8992689774992
1433917097 40000 40000 65535 0 40000 8993189772232 8993189775432
4259826829 40000 40000 32780 0 40000 8993689769472 8993689772672
2972842654 40000 40000 65535 0 40000 8994189769912 8994189773112
1941243586 40000 40000 32780 0 40000 8994689771952 8994689776752
2776142183 40000 40000 65535 0 40000 8995189769192 8995189772392
3809828307 40000 40000 32780 0 40000 8995689771232 8995689774432
3566062242 40000 40000 65535 0 40000 8996189770072 8996189774872
166336678 40000 40000 32780 0 40000 8996689772112 8996689775312
92416453 40000 40000 65535 0 40000 8997189764552 8997189767752
1523202313 40000 40000 32780 0 40000 8997689769792 8997689774592
2988705683 40000 40000 65535 0 40000 8998189771832 8998189776632
2016000899 40000 40000 32780 0 40000 8998689767472 8998689770672
3169194285 40000 40000 65535 0 40000 8999189771112 8999189775912
12991377 40000 40000 32780 0 40000 8999689771552 8999689774752
4246745671 40000 40000 65535 0 40000 9000189765592 9000189767192
2079350880 40000 40000 32780 0 40000 9000689769232 9000689774032
3205001081 40000 40000 65535 0 40000 9001189764872 9001189768072
3771813095 40000 40000 32780 0 40000 9001689771712 9001689774912
3822641375 40000 40000 65535 0 40000 9002189764153 9002189765752
765471760 40000 40000 32780 0 40000 9002689770992 9002689774192
3807116269 40000 40000 65535 0 40000 9003189765032 9003189768232
4132416749 40000 40000 32780 0 40000 9003689768672 9003689773472
313297111 40000 40000 65535 0 40000 9004189764313 9004189767512
881183188 40000 40000 32780 0 40000 9004689771152 9004689775952
1512603961 40000 40000 65535 0 40000 9005189765192 9005189768392
327961147 40000 40000 32780 0 40000 9005689772032 9005689775232
3012514415 40000 40000 65535 0 40000 9006189770872 9006189775672
1144915517 40000 40000 32780 0 40000 9006689771312 9006689774512
