PV dadobruto dadofapk Escrita ModoOperacao ValorDesejado CicloInicio CicloFim
41350 41546 41546 33000 1 33000 5378533249269 5378533346549
41354 41520 41520 33000 1 33000 5379033236989 5379033323629
41359 41510 41510 33000 1 33000 5379533236869 5379533318949
41364 41396 41396 33000 1 33000 5380033233709 5380033318829
41370 41592 41592 33000 1 33000 5380533233589 5380533321749
41376 41595 41595 33000 1 33000 5381033236509 5381033323149
41384 41578 41578 33000 1 33000 5381533233349 5381533321509
41392 41422 41422 33000 1 33000 5382033233229 5382033318349
41401 41471 41471 33000 1 33000 5382533234629 5382533322789
41411 41508 41508 33000 1 33000 5383033229949 5383033312029
41422 41446 41446 33000 1 33000 5383533235909 5383533322549
41432 41578 41578 33000 1 33000 5384033238829 5384033325469
41443 41399 41399 33000 1 33000 5384533237189 5384533325349
41454 41494 41494 33000 1 33000 5385033234029 5385033319149
41464 41601 41601 33000 1 33000 5385533235429 5385533322069
41473 41494 41494 33000 1 33000 5386033232269 5386033317389
41482 41449 41449 33000 1 33000 5386533235189 5386533323349
41489 41491 41491 33000 1 33000 5387033235069 5387033314109
41496 41469 41469 33000 1 33000 5387533234949 5387533321589
41502 41553 41553 33000 1 33000 5388033224189 5388033300189
41507 41607 41607 33000 1 33000 5388533231669 5388533318309
41510 41419 41419 33000 1 33000 5389033236109 5389033322749
41513 41432 41432 33000 1 33000 5389533301349 5389533474629
41515 41533 41533 33000 1 33000 5390033231309 5390033319469
41516 41513 41513 33000 1 33000 5390533231189 5390533310229
41517 41574 41574 33000 1 33000 5391033234109 5391033316189
41517 41565 41565 33000 1 33000 5391533235509 5391533323669
41517 41503 41503 33000 1 33000 5392033229309 5392033309869
41516 41512 41512 33000 1 33000 5392533232229 5392533318869
41515 41503 41503 33000 1 33000 5393033226029 5393033306589
41514 41669 41669 33000 1 33000 5393533233509 5393533318629
41514 41651 41651 33000 1 33000 5394033234909 5394033323069
41513 41684 41684 33000 1 33000 5394533233269 5394533319909
41513 41600 41600 33000 1 33000 5395033234669 5395033325869
41514 41537 41537 33000 1 33000 5395533234549 5395533322709
41516 41620 41620 33000 1 33000 5396033235949 5396033324109
41519 41573 41573 33000 1 33000 5396533237349 5396533323989
41522 41595 41595 33000 1 33000 5397033238749 5397033325389
41527 41542 41542 33000 1 33000 5397533234069 5397533314629
41532 41513 41513 33000 1 33000 5398033230909 5398033306909
41538 41709 41709 33000 1 33000 5398533232309 5398533312869
41544 41564 41564 33000 1 33000 5399033230669 5399033308189
41550 41639 41639 33000 1 33000 5399533233589 5399533317189
41556 41612 41612 33000 1 33000 5400033222829 5400033303389
41563 41664 41664 33000 1 33000 5400533234869 5400533318469
41569 41609 41609 33000 1 33000 5401033233229 5401033312269
41575 41743 41743 33000 1 33000 5401533231589 5401533318229
41581 41671 41671 33000 1 33000 5402033229949 5402033313549
41587 41660 41660 33000 1 33000 5402533232869 5402533316469
41592 41687 41687 33000 1 33000 5403033223629 5403033298109
41598 41711 41711 33000 1 33000 5403533234149 5403533317749
41604 41658 41658 33000 1 33000 5404033234029 5404033319149
41609 41682 41682 33000 1 33000 5404533232389 5404533315989
41615 41699 41699 33000 1 33000 5405033232269 5405033312829
41621 41677 41677 33000 1 33000 5405533227589 5405533305109
41627 41663 41663 33000 1 33000 5406033235069 5406033312589
41633 41750 41750 33000 1 33000 5406533234949 5406533323109
41639 41815 41815 33000 1 33000 5407033233309 5407033309309
41645 41862 41862 33000 1 33000 5407533233189 5407533309189
41652 41778 41778 33000 1 33000 5408033223949 5408033302989
41658 41701 41701 33000 1 33000 5408533232949 5408533310469
41665 41636 41636 33000 1 33000 5409033234349 5409033317949
41672 41628 41628 33000 1 33000 5409533234229 5409533314789
41679 41795 41795 33000 1 33000 5410033224989 5410033299469
41686 41749 41749 33000 1 33000 5410533232469 5410533313029
41693 41643 41643 33000 1 33000 5411033230829 5411033312909
41699 41640 41640 33000 1 33000 5411533232229 5411533320389
41705 41719 41719 33000 1 33000 5412033233629 5412033315709
41711 41683 41683 33000 1 33000 5412533230469 5412533315589
41716 41708 41708 33000 1 33000 5413033221229 5413033292669
41720 41655 41655 33000 1 33000 5413533228709 5413533310789
41723 41744 41744 33000 1 33000 5414033228589 5414033310669
41725 41745 41745 33000 1 33000 5414533231509 5414533316629
41726 41770 41770 33000 1 33000 5415033234429 5415033316509
41726 41834 41834 33000 1 33000 5415533228229 5415533308789
41726 41878 41878 33000 1 33000 5416033229629 5416033308669
41725 41740 41740 33000 1 33000 5416533234069 5416533323749
41725 41869 41869 33000 1 33000 5417033230909 5417033308429
41725 41730 41730 33000 1 33000 5417533233829 5417533314389
41725 41705 41705 33000 1 33000 5418033221549 5418033292989
41726 41792 41792 33000 1 33000 5418533230549 5418533308069
41727 41748 41748 33000 1 33000 5419033227389 5419033303389
41729 41746 41746 33000 1 33000 5419533233349 5419533318469
41731 41751 41751 33000 1 33000 5420033233229 5420033315309
41734 41731 41731 33000 1 33000 5420533233109 5420533313669
41738 41812 41812 33000 1 33000 5421033232989 5421033315069
41741 41864 41864 33000 1 33000 5421533232869 5421533319509
41745 41751 41751 33000 1 33000 5422033231229 5422033310269
41748 41826 41826 33000 1 33000 5422533228069 5422533310149
41752 41874 41874 33000 1 33000 5423033220349 5423033291789
41756 41700 41700 33000 1 33000 5423533229349 5423533309909
41760 41811 41811 33000 1 33000 5424033229229 5424033309789
41764 41711 41711 33000 1 33000 5424533232149 5424533308149
41768 41814 41814 33000 1 33000 5425033218349 5425033291309
41772 41787 41787 33000 1 33000 5425533231909 5425533313989
41776 41780 41780 33000 1 33000 5426033225709 5426033307789
41779 41844 41844 33000 1 33000 5426533233189 5426533313749
41782 41804 41804 33000 1 33000 5427033233069 5427033309069
41785 41812 41812 33000 1 33000 5427533234469 5427533318069
41787 41791 41791 33000 1 33000 5428033220669 5428033290589
41789 41743 41743 33000 1 33000 5428533229669 5428533313269
41791 41828 41828 33000 1 33000 5429033228029 5429033310109
41792 41758 41758 33000 1 33000 5429533237029 5429533320629
41794 41788 41788 33000 1 33000 5430033218669 5430033296189
41795 41755 41755 33000 1 33000 5430533232229 5430533314309
41795 41713 41713 33000 1 33000 5431033232109 5431033306589
41796 41855 41855 33000 1 33000 5431533230469 5431533318629
41796 41729 41729 33000 1 33000 5432033227309 5432033312429
41796 41808 41808 33000 1 33000 5432533231749 5432533313829
41795 41823 41823 33000 1 33000 5433033219469 5433033298509
41794 41840 41840 33000 1 33000 5433533231509 5433533315109
41793 41796 41796 33000 1 33000 5434033231389 5434033307389
41792 41815 41815 33000 1 33000 5434533232789 5434533313349
41792 41887 41887 33000 1 33000 5435033222029 5435033298029
41791 41901 41901 33000 1 33000 5435533237109 5435533319189
41790 41863 41863 33000 1 33000 5436033243069 5436033347949
41791 41835 41835 33000 1 33000 5436533232309 5436533318949
41791 41787 41787 33000 1 33000 5437033227629 5437033306669
41793 41819 41819 33000 1 33000 5437533230549 5437533317189
41795 41838 41838 33000 1 33000 5438033225869 5438033307949
41798 41876 41876 33000 1 33000 5438533274389 5438533421829
41801 41759 41759 33000 1 33000 5439033249949 5439033354829
41804 41867 41867 33000 1 33000 5439533231589 5439533321269
41808 41897 41897 33000 1 33000 5440033260349 5440033380429
